Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
precio lacar puertas blanco;2;1;-1;40;0.90;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;0.30;0.22;0.50;70000;0.33,0.11,0.11,0.11,0.22,0.22,0.22,0.33,0.99,0.99,0.78,0.44
pladur precio;17;17;0;1300;0.54;http://tenders.es/pregunta/precio-por-metro-de-pladur-colocado_183/;0.30;0.13;0.21;474000;0.30,0.42,0.79,0.67,0.54,0.20,0.79,0.79,0.99,0.42,0.37,0.54
alicatar baño precio;2;1;-1;40;0.67;http://tenders.es/presupuesto/cuenca/cuenca/alicatar-bano-de-28-m2-y-poner-suelo-en-piso-de-74m2-queria-presopuesto-con-parquet-y-terrazo_662/;0.30;0.16;0.45;82000;0.71,0.71,0.56,0.43,0.28,0.14,0.43,0.43,0.43,0.56,0.56,0.99
precio pintura para azulejos;11;11;0;110;0.15;http://tenders.es/pregunta/se-quedan-bien-los-azulejos-tapados-cn-pintura_69/;0.30;0.03;0.80;482000;0.99,0.65,0.82,0.99,0.82,0.65,0.65,0.82,0.65,0.53,0.41,0.18
instalar vitroceramica;11;11;0;110;0.00;http://tenders.es/pregunta/instalar-horno-teka-si-la-vitroceramica-es-bosh_705/;0.30;0.00;0.10;70000;0.65,0.53,0.65,0.53,0.53,0.65,0.65,0.65,0.65,0.65,0.99,0.65
precio m2 pladur;9;8;-1;170;0.84;http://tenders.es/pregunta/precio-por-metro-de-pladur-colocado_183/;0.30;0.20;0.12;289000;0.99,0.67,0.81,0.67,0.67,0.52,0.67,0.81,0.81,0.81,0.99,0.99
presupuesto reforma cocina;9;8;-1;170;2.29;http://tenders.es/presupuesto/madrid/nuevo-baztan/reforma-cocina-15m2_488/;0.30;0.56;0.86;631000;0.99,0.65,0.65,0.65,0.65,0.54,0.54,0.65,0.81,0.65,0.81,0.81
mortero autonivelante precio;8;9;1;170;0.95;http://tenders.es/presupuesto/vizcaya/bilbao/presupuesto-para-recrecido-con-mortero-autonivelante-125-m2_14024/;0.30;0.23;0.63;39000;0.81,0.81,0.99,0.99,0.99,0.99,0.99,0.99,0.81,0.43,0.52,0.99
cerrar terraza precio;4;5;1;70;1.24;http://tenders.es/presupuesto/madrid/madrid/cerramiento-de-terraza-de-aprox-14-m-cuadrados_443/;0.28;0.29;0.77;15200000;0.41,0.41,0.53,0.24,0.24,0.12,0.28,0.24,0.28,0.18,0.65,0.99
aislamiento acustico lana de roca;4;4;0;70;1.55;http://tenders.es/pregunta/es-buen-aislante-acustico-la-lana-de-roca_391/;0.28;0.36;0.75;32000;0.71,0.99,0.99,0.99,0.71,0.56,0.99,0.99,0.99,0.71,0.71,0.71
cerramiento terraza precio;4;4;0;70;1.96;http://tenders.es/presupuesto/madrid/madrid/cerramiento-de-terraza-de-aprox-14-m-cuadrados_443/;0.28;0.46;0.84;365000;0.64,0.36,0.64,0.50,0.50,0.79,0.99,0.21,0.36,0.36,0.79,0.50
lacado de puertas en blanco;4;4;0;70;0.86;http://tenders.es/pregunta/es-mas-caro-lacar-en-blanco-puertas-o-ponerlas-nuevas_639/;0.28;0.20;0.67;429000;0.21,0.64,0.99,0.99,0.50,0.28,0.28,0.21,0.64,0.36,0.79,0.99
instalacion electrica presupuesto;1;1;0;10;0.00;http://tenders.es/presupuesto/barcelona/barcelona/instalacion-electrica-de-una-vivienda-de-60-m2_6540/;0.27;0.00;0.20;280000;0.67,0.33,0.33,0.67,0.33,0.33,0.33,0.99,0.67,0.33,0.33,0.33
precio instalacion split;1;1;0;10;0.00;http://tenders.es/presupuesto/madrid/getafe/instalar-split-inverter-de-3000-frigorias-en-edificio-nuevo_2548/;0.27;0.00;0.33;534000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
pulido parquet precio;1;1;0;10;0.84;http://tenders.es/presupuesto/barcelona/barcelona/pulir-y-barnizar-suelo-de-madera-de-40m2_7562/;0.27;0.19;0.79;347000;0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.00,0.99,0.99,0.99,0.99
coste instalacion electrica;1;1;0;10;1.31;http://tenders.es/presupuesto/barcelona/barcelona/instalacion-electrica-de-una-vivienda-de-60-m2_6540/;0.27;0.29;0.56;96000;0.99,0.50,0.99,0.50,0.50,0.50,0.50,0.50,0.99,0.99,0.99,0.99
paredes de pladur precios;6;5;-1;90;0.43;http://tenders.es/pregunta/precio-por-metro-de-pladur-colocado_183/;0.26;0.09;0.21;310000;0.65,0.24,0.41,0.28,0.24,0.24,0.53,0.41,0.65,0.65,0.99,0.82
precio instalacion tarima flotante;3;3;0;50;1.28;http://tenders.es/presupuesto/madrid/madrid/instalar-tarima-flotante-en-piso-de-90m2_11162/;0.26;0.27;0.78;132000;0.44,0.56,0.44,0.56,0.44,0.44,0.56,0.78,0.78,0.78,0.99,0.56
pulir parquet precio;3;3;0;50;1.63;http://tenders.es/presupuesto/barcelona/barcelona/pulir-y-barnizar-suelo-de-madera-de-40m2_7562/;0.26;0.35;0.85;602000;0.50,0.36,0.28,0.28,0.21,0.28,0.28,0.14,0.28,0.36,0.79,0.99
precio metro pladur;3;3;0;50;0.28;http://tenders.es/pregunta/precio-por-metro-de-pladur-colocado_183/;0.26;0.06;0.08;155000;0.78,0.56,0.44,0.33,0.33,0.44,0.78,0.56,0.56,0.78,0.99,0.78
precio pulir parquet;3;2;-1;50;1.78;http://tenders.es/presupuesto/barcelona/barcelona/pulir-y-barnizar-suelo-de-madera-de-40m2_7562/;0.26;0.38;0.86;81000;0.71,0.43,0.56,0.71,0.43,0.56,0.56,0.71,0.71,0.99,0.99,0.71
azulejo rectificado;5;5;0;90;0.00;http://tenders.es/pregunta/azulejos-rectificados-los-alicatadores-cobran-mas-por-poner-este-azulejo_24/;0.26;0.00;0.06;49000;0.82,0.45,0.82,0.64,0.99,0.64,0.82,0.99,0.99,0.64,0.99,0.82
presupuesto alisar paredes;3;3;0;50;1.03;http://tenders.es/presupuesto/madrid/san-sebastian-de-los-reyes/eliminar-gotele-alisado-de-paredes-y-pintura-de-una-habitacion_1160/;0.26;0.22;0.69;115000;0.56,0.43,0.56,0.43,0.71,0.56,0.99,0.71,0.99,0.56,0.71,0.71
molduras de escayola precios;6;6;0;90;0.28;http://tenders.es/presupuesto/madrid/madrid/poner-escayola-en-piso_10425/;0.26;0.06;0.66;101000;0.65,0.41,0.28,0.28,0.41,0.41,0.41,0.65,0.65,0.65,0.99,0.65
molduras de escayola precios;5;5;0;90;0.28;http://tenders.es/presupuesto/madrid/madrid/colocar-moldura-de-escayola-en-salon-y-tres-habitaciones_9421/;0.26;0.06;0.66;101000;0.65,0.41,0.28,0.28,0.41,0.41,0.41,0.65,0.65,0.65,0.99,0.65
presupuesto cerramiento terraza;3;4;1;50;2.04;http://tenders.es/presupuesto/madrid/madrid/cerramiento-de-terraza-de-aprox-14-m-cuadrados_443/;0.26;0.44;0.81;237000;0.56,0.56,0.22,0.22,0.44,0.44,0.99,0.44,0.44,0.56,0.99,0.99
cuanto cuesta poner parquet;6;6;0;90;0.81;http://tenders.es/presupuesto/madrid/leganes/instalar-tarima-flotante-o-parquet-en-un-piso_4010/;0.26;0.17;0.56;18000;0.24,0.24,0.28,0.28,0.28,0.41,0.41,0.65,0.65,0.65,0.99,0.82
alisado de paredes;7;8;1;110;0.82;http://tenders.es/presupuesto/madrid/san-sebastian-de-los-reyes/eliminar-gotele-alisado-de-paredes-y-pintura-de-una-habitacion_1160/;0.25;0.17;0.46;462000;0.64,0.50,0.50,0.79,0.64,0.64,0.99,0.79,0.79,0.64,0.79,0.79
