Keyword;Position;Previous Position;Position Difference;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition;Number of Results;Trends
ventanas aluminio vs pvc;1;1;0;20;0.84;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.27;0.11;0.51;56000;0.67,0.67,0.67,0.67,0.67,0.33,0.67,0.99,0.67,0.67,0.67,0.67
reformas de terrazas;1;1;0;20;1.30;http://planreforma.com/blog/tag/terrazas/;0.27;0.17;0.71;1490000;0.99,0.67,0.67,0.99,0.67,0.67,0.33,0.67,0.67,0.33,0.67,0.67
presupuesto de reforma de vivienda;1;2;1;20;2.77;http://planreforma.com/;0.27;0.36;1.00;12700000;0.56,0.71,0.99,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14
hacer un croquis;1;1;0;20;0.00;http://planreforma.com/ayuda/usuario/como_hacer_croquis/;0.27;0.00;0.00;760000;0.99,0.67,0.99,0.67,0.99,0.33,0.99,0.99,0.99,0.67,0.67,0.99
suelos para cocinas;12;11;-1;720;0.88;http://planreforma.com/blog/que-suelo-elegir-para-una-cocina/;0.27;0.11;0.74;20700000;0.88,0.59,0.72,0.59,0.59,0.59,0.72,0.59,0.88,0.59,0.99,0.99
presupuesto reforma casa;2;0;0;70;2.41;http://planreforma.com/presupuesto-reforma/;0.26;0.30;0.94;13500000;0.56,0.44,0.78,0.78,0.99,0.78,0.78,0.78,0.78,0.44,0.78,0.78
presupuestos reformas online;2;2;0;70;4.49;http://planreforma.com/;0.26;0.57;0.75;643000;0.99,0.41,0.65,0.53,0.18,0.06,0.24,0.24,0.18,0.24,0.28,0.24
cerramiento terraza precio;2;2;0;70;1.96;http://planreforma.com/blog/cuanto-cuesta-construir-un-cerramiento-en-la-terraza-beneficiate-ademas-de-las-ayudas-que-da-el-gobierno/;0.26;0.24;0.84;365000;0.64,0.36,0.64,0.50,0.50,0.79,0.99,0.21,0.36,0.36,0.79,0.50
precio reforma integral;6;6;0;170;2.81;http://planreforma.com/presupuesto-reforma/;0.24;0.33;0.82;628000;0.81,0.66,0.66,0.99,0.66,0.16,0.34,0.53,0.53,0.34,0.53,0.66
ventanas aluminio o pvc;6;4;-2;170;0.90;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.24;0.10;0.72;471000;0.28,0.23,0.28,0.28,0.36,0.28,0.44,0.44,0.54,0.44,0.82,0.99
como pintar un piso;6;5;-1;170;1.91;http://planreforma.com/blog/consejos-para-pintar-un-piso/;0.24;0.22;0.15;910000;0.99,0.99,0.99,0.99,0.99,0.99,0.82,0.82,0.65,0.53,0.82,0.99
tarima de exterior;6;6;0;170;1.18;http://planreforma.com/blog/tarima-de-exterior-de-madera-o-sintetica/;0.24;0.14;0.79;561000;0.81,0.66,0.99,0.81,0.53,0.34,0.34,0.34,0.34,0.28,0.28,0.34
precio ascensor;6;4;-2;170;1.39;http://planreforma.com/blog/cuanto-cuesta-instalar-un-ascensor-en-un-edificio-antigua-y-otros-aspectos-tecnicos-a-tener-en-cuenta/;0.24;0.16;0.95;32400000;0.65,0.54,0.54,0.54,0.42,0.65,0.54,0.65,0.65,0.65,0.99,0.81
ancho silla de ruedas;3;3;0;90;0.44;http://planreforma.com/blog/adaptar-un-piso-o-vivienda-para-discapacitados-en-sillas-de-ruedas/;0.23;0.04;0.28;487000;0.64,0.64,0.82,0.64,0.64,0.64,0.82,0.99,0.82,0.64,0.99,0.99
ideas para reformar un piso;3;3;0;90;1.43;http://planreforma.com/blog/las-10-cosas-que-debes-saber-al-hacer-una-reforma-integral/;0.23;0.16;0.65;241000;0.65,0.53,0.65,0.41,0.65,0.53,0.41,0.24,0.28,0.65,0.99,0.65
reformar casa;11;11;0;170;2.81;http://planreforma.com/calculador-reforma/;0.23;0.31;0.84;13700000;0.99,0.67,0.81,0.67,0.81,0.81,0.67,0.81,0.99,0.67,0.99,0.99
ideas interiorismo;11;13;2;170;0.26;http://planreforma.com/cajon_de_ideas/;0.23;0.02;0.24;641000;0.65,0.81,0.65,0.65,0.65,0.42,0.81,0.65,0.65,0.65,0.65,0.99
tarima sintetica;10;13;3;260;0.90;http://planreforma.com/blog/tarima-de-exterior-de-madera-o-sintetica/;0.22;0.09;0.56;132000;0.82,0.82,0.67,0.54,0.44,0.54,0.82,0.82,0.54,0.54,0.82,0.99
cuanto cuesta reformar una cocina;9;6;-3;260;1.63;http://planreforma.com/blog/cuanto-cuesta-reformar-una-cocina/;0.22;0.17;0.64;39000;0.67,0.54,0.67,0.44,0.54,0.44,0.67,0.67,0.67,0.54,0.99,0.82
presupuesto reforma baño;9;8;-1;260;1.89;http://planreforma.com/blog/cuanto-cuesta-reformar-un-bano/;0.22;0.20;0.87;503000;0.82,0.67,0.67,0.67,0.99,0.54,0.67,0.67,0.67,0.67,0.82,0.67
suelo radiante opiniones;4;4;0;110;0.74;http://planreforma.com/blog/sistemas-de-calefaccion-que-es-el-suelo-radiante-y-cuando-usarlo/;0.22;0.07;0.26;101000;0.16,0.12,0.09,0.12,0.16,0.12,0.22,0.28,0.53,0.81,0.81,0.99
reformas integrales barcelona;14;12;-2;1000;4.29;http://planreforma.com/blog/opiniones-de-clientes-de-plan-reforma-reforma-integral-del-piso-de-montse-y-francesc-en-barcelona/;0.20;0.42;0.82;473000;0.55,0.55,0.81,0.81,0.62,0.45,0.55,0.62,0.62,0.62,0.99,0.99
tarima madera exterior;5;6;1;140;1.55;http://planreforma.com/blog/tarima-de-exterior-de-madera-o-sintetica/;0.20;0.15;0.82;509000;0.81,0.81,0.99,0.81,0.67,0.52,0.52,0.43,0.43,0.33,0.67,0.67
presupuesto obra;6;6;0;140;1.88;http://planreforma.com/;0.20;0.18;0.73;43400000;0.65,0.65,0.82,0.99,0.82,0.53,0.82,0.82,0.82,0.65,0.99,0.82
precio reforma integral;7;0;0;170;2.81;http://planreforma.com/blog/las-10-cosas-que-debes-saber-al-hacer-una-reforma-integral/;0.19;0.26;0.82;628000;0.81,0.66,0.66,0.99,0.66,0.16,0.34,0.53,0.53,0.34,0.53,0.66
obras en casa;11;10;-1;140;0.80;http://planreforma.com/;0.19;0.07;0.39;93200000;0.65,0.65,0.99,0.82,0.65,0.65,0.99,0.65,0.82,0.53,0.65,0.82
tipos de inodoros;2;2;0;50;0.73;http://planreforma.com/blog/tipos-de-inodoros/;0.19;0.06;0.37;583000;0.80,0.99,0.80,0.80,0.60,0.99,0.80,0.99,0.80,0.99,0.99,0.99
reformas presupuestos;2;2;0;50;3.66;http://planreforma.com/;0.19;0.33;0.92;12500000;0.36,0.18,0.18,0.18,0.36,0.27,0.27,0.36,0.45,0.64,0.82,0.99
aluminio vs pvc;2;1;-1;50;0.00;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.19;0.00;0.19;227000;0.56,0.43,0.56,0.43,0.71,0.28,0.56,0.99,0.71,0.71,0.71,0.99
piscinas rebosantes;2;6;4;50;1.20;http://planreforma.com/blog/piscinas-desbordantes-o-piscinas-infinitas/;0.19;0.10;0.64;81000;0.56,0.56,0.99,0.99,0.99,0.99,0.71,0.43,0.28,0.43,0.56,0.99
pvc vs aluminio;2;1;-1;50;0.78;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.19;0.07;0.35;226000;0.56,0.56,0.78,0.44,0.44,0.33,0.78,0.78,0.78,0.56,0.78,0.99
cuanto vale reformar un piso;2;2;0;50;1.25;http://planreforma.com/blog/cuanto-cuesta-reformar-un-piso/;0.19;0.11;0.85;70000;0.44,0.22,0.22,0.22,0.33,0.44,0.78,0.78,0.99,0.44,0.78,0.78
ventana pvc o aluminio;2;2;0;50;0.38;http://planreforma.com/blog/ventanas-de-aluminio-o-de-pvc-que-elegir/;0.19;0.03;0.62;583000;0.33,0.33,0.56,0.33,0.44,0.22,0.78,0.78,0.99,0.78,0.99,0.99
reforma barata;3;3;0;70;1.88;http://planreforma.com/blog/%C2%BFcomo-conseguir-que-mi-reforma-sea-bbb-buena-bonita-y-barata/;0.18;0.16;0.66;2360000;0.28,0.28,0.41,0.18,0.41,0.65,0.99,0.82,0.53,0.41,0.41,0.28
construir una casa precio;4;4;0;90;0.34;http://planreforma.com/calculador-obra_nueva/;0.18;0.03;0.68;16800000;0.79,0.36,0.79,0.64,0.79,0.50,0.28,0.64,0.50,0.99,0.64,0.79
ideas para pintar un piso;8;9;1;210;0.33;http://planreforma.com/blog/consejos-para-pintar-un-piso/;0.18;0.02;0.27;491000;0.99,0.99,0.81,0.81,0.81,0.66,0.66,0.34,0.22,0.34,0.34,0.44
jardines sin cesped;3;2;-1;70;0.00;http://planreforma.com/blog/reduce-el-consumo-de-agua-de-tu-jardin-sustituye-el-cesped-por-otros-materiales/;0.18;0.00;0.15;699000;0.82,0.82,0.99,0.64,0.99,0.64,0.64,0.45,0.64,0.18,0.45,0.82
precio reforma integral piso;10;12;2;210;2.56;http://planreforma.com/blog/las-10-cosas-que-debes-saber-al-hacer-una-reforma-integral/;0.18;0.22;0.76;339000;0.28,0.10,0.18,0.18,0.28,0.67,0.67,0.67,0.82,0.54,0.99,0.67
cuanto cuesta una reforma integral de un piso;3;4;1;70;2.72;http://planreforma.com/blog/cuanto-cuesta-reformar-un-piso/;0.18;0.24;0.81;80000;0.99,0.64,0.82,0.64,0.64,0.99,0.82,0.27,0.27,0.18,0.36,0.64
piscina de obra;10;12;2;210;1.38;http://planreforma.com/blog/piscina-de-obra-o-prefabricada/;0.18;0.12;0.86;41900000;0.44,0.44,0.67,0.67,0.99,0.99,0.44,0.23,0.23,0.13,0.36,0.36
hormigon impreso opiniones;3;2;-1;70;1.58;http://planreforma.com/blog/sabes-como-el-hormigon-impreso-puede-dar-juego-en-tu-jardin/;0.18;0.13;0.70;16000;0.36,0.50,0.64,0.50,0.50,0.50,0.64,0.36,0.50,0.36,0.36,0.99
