Keyword,Position,"Previous Position","Search Volume",CPC,Url,"Traffic (%)","Traffic Cost (%)",Competition,"Number of Results",Trends,Timestamp,geo
"lacar puertas en blanco precio",5,5,110,0.94,http://www.hazmeprecio.com/presupuesto/lacar-puertas,0.32,0.21,0.67,74000,"0.23,0.19,0.19,0.10,0.19,0.19,0.23,0.28,0.99,0.15,0.19,0.15",1428079292,
"presupuesto pintura",5,4,110,1.73,http://www.hazmeprecio.com/presupuesto/pintura,0.32,0.39,0.75,4170000,"0.99,0.67,0.67,0.52,0.67,0.52,0.67,0.52,0.52,0.43,0.43,0.52",1428761618,
"presupuesto quitar gotele",5,5,110,0.81,http://www.hazmeprecio.com/presupuesto/quitar-gotele,0.32,0.18,0.69,96000,"0.99,0.53,0.65,0.53,0.65,0.53,0.65,0.53,0.65,0.65,0.99,0.82",1428115057,
"precio lacar puertas blanco",2,3,40,0.90,http://www.hazmeprecio.com/presupuesto/lacar-puertas,0.31,0.19,0.50,73000,"0.33,0.11,0.11,0.11,0.22,0.22,0.22,0.33,0.99,0.99,0.78,0.44",1428101952,
"estanterias de pladur precios",2,2,40,0.87,http://www.hazmeprecio.com/presupuesto/estanteria-pladur,0.31,0.18,0.62,56000,"0.33,0.44,0.33,0.33,0.44,0.33,0.22,0.44,0.33,0.22,0.78,0.99",1428313806,
"cierre de aluminio",2,4,40,0.47,http://www.hazmeprecio.com/presupuesto/cierre-de-aluminio,0.31,0.10,0.34,1600000,"0.43,0.56,0.56,0.71,0.56,0.28,0.43,0.71,0.71,0.43,0.71,0.99",1428087724,
"cuanto cuesta instalar un aire acondicionado",2,2,40,0.82,http://www.hazmeprecio.com/presupuesto/instalacion-aire-acondicionado,0.31,0.17,0.65,154000,"0.56,0.99,0.99,0.71,0.56,0.56,0.99,0.43,0.28,0.14,0.14,0.28",1428828267,
"vestidores precios",11,10,110,0.41,http://www.hazmeprecio.com/presupuesto/hacer-vestidor,0.30,0.08,0.74,490000,"0.65,0.41,0.82,0.65,0.99,0.41,0.65,0.65,0.65,0.53,0.99,0.65",1428630109,
"ventanas velux precios",11,11,110,0.72,http://www.hazmeprecio.com/presupuesto/ventanas-velux,0.30,0.15,0.90,95000,"0.35,0.65,0.35,0.15,0.19,0.65,0.99,0.54,0.27,0.15,0.42,0.65",1428314271,
"precio parquet m2",11,11,110,0.88,http://www.hazmeprecio.com/presupuesto/poner-parquet,0.30,0.18,0.70,6510000,"0.99,0.65,0.53,0.28,0.28,0.18,0.65,0.99,0.82,0.82,0.82,0.41",1428150434,
"precio armario a medida",11,12,110,0.56,http://www.hazmeprecio.com/presupuesto/armarios-a-medida,0.30,0.11,0.67,671000,"0.82,0.28,0.41,0.53,0.53,0.65,0.82,0.82,0.82,0.82,0.99,0.82",1428424517,
"precio paves",9,9,170,0.04,http://www.hazmeprecio.com/presupuesto/pared-de-paves,0.30,0.00,0.14,85000,"0.99,0.99,0.81,0.67,0.81,0.67,0.99,0.81,0.99,0.81,0.99,0.81",1428136318,
"cesped artificial precio m2",10,13,170,1.37,http://www.hazmeprecio.com/presupuesto/cesped-artificial,0.30,0.28,0.95,82000,"0.99,0.66,0.99,0.99,0.66,0.53,0.44,0.44,0.28,0.22,0.28,0.66",1428141204,
"contraventanas de aluminio",10,10,170,1.04,http://www.hazmeprecio.com/presupuesto/contraventanas,0.30,0.21,0.67,240000,"0.28,0.28,0.23,0.23,0.36,0.23,0.54,0.36,0.82,0.99,0.54,0.44",1428803400,
"precio m2 pladur",9,8,170,0.84,http://www.hazmeprecio.com/presupuesto/poner-pladur,0.30,0.17,0.12,313000,"0.99,0.67,0.81,0.67,0.67,0.52,0.67,0.81,0.81,0.81,0.99,0.99",1428097255,
"instalacion aire acondicionado precio",8,7,170,1.84,http://www.hazmeprecio.com/presupuesto/instalacion-aire-acondicionado,0.30,0.38,0.88,732000,"0.53,0.53,0.99,0.99,0.81,0.53,0.44,0.22,0.28,0.22,0.34,0.44",1428114921,
"ventanas climalit precios",8,7,170,0.62,http://www.hazmeprecio.com/presupuesto/ventanas-climalit,0.30,0.13,0.80,366000,"0.66,0.66,0.81,0.44,0.28,0.22,0.44,0.66,0.99,0.66,0.53,0.81",1428559667,
"cerramientos de terrazas precios",8,9,170,1.91,http://www.hazmeprecio.com/presupuesto/cerramiento-terraza,0.30,0.40,0.93,250000,"0.81,0.99,0.81,0.54,0.15,0.54,0.65,0.27,0.42,0.42,0.81,0.99",1428524805,
"presupuestos obras online",1,2,10,1.96,http://www.hazmeprecio.com/presupuesto/obra,0.28,0.38,0.99,603000,"0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.99,0.99,0.00,0.50,0.50",1428783405,
"techos de aluminio precios",3,4,50,0.56,http://www.hazmeprecio.com/presupuesto/techo-de-aluminio,0.26,0.10,0.88,576000,"0.44,0.22,0.56,0.78,0.99,0.56,0.56,0.33,0.22,0.22,0.33,0.56",1428371539,
"precio metro cuadrado pladur",5,7,90,0.66,http://www.hazmeprecio.com/presupuesto/poner-pladur,0.26,0.12,0.14,45000,"0.99,0.64,0.64,0.64,0.36,0.64,0.64,0.45,0.82,0.82,0.99,0.99",1428692956,
"cuanto cuesta amueblar una cocina",5,5,90,0.30,http://www.hazmeprecio.com/presupuesto/amueblar-cocina,0.26,0.05,0.65,25000,"0.64,0.50,0.64,0.50,0.36,0.64,0.50,0.50,0.64,0.50,0.79,0.99",1428482647,
"precio suelo radiante m2",5,5,90,0.44,http://www.hazmeprecio.com/presupuesto/suelo-radiante,0.26,0.08,0.83,271000,"0.33,0.24,0.24,0.19,0.19,0.14,0.43,0.67,0.81,0.81,0.99,0.52",1428395998,
"canalones sotillos",3,4,50,1.11,http://www.hazmeprecio.com/empresa/impermeabilizaciones-y-canalones-sotillos-sl,0.26,0.20,0.43,1000,"0.56,0.71,0.43,0.43,0.71,0.43,0.99,0.99,0.99,0.71,0.56,0.43",1428415976,
"puertas blindadas barcelona precios",3,2,50,2.18,http://www.hazmeprecio.com/presupuesto/puertas-blindadas/barcelona,0.26,0.40,0.94,66000,"0.78,0.56,0.99,0.22,0.44,0.33,0.56,0.99,0.56,0.33,0.33,0.44",1428424854,
"presupuesto fontaneria",3,3,50,1.12,http://www.hazmeprecio.com/presupuesto/fontaneria,0.26,0.20,0.78,391000,"0.99,0.71,0.56,0.71,0.71,0.56,0.71,0.71,0.71,0.71,0.71,0.71",1428265559,
"presupuesto parquet",6,6,90,1.22,http://www.hazmeprecio.com/presupuesto/poner-parquet,0.26,0.22,0.85,468000,"0.99,0.79,0.50,0.36,0.50,0.36,0.64,0.50,0.64,0.64,0.99,0.79",1428327426,
"presupuesto parquet",5,5,90,1.22,http://www.hazmeprecio.com/presupuesto/parquet,0.26,0.22,0.85,468000,"0.99,0.79,0.50,0.36,0.50,0.36,0.64,0.50,0.64,0.64,0.99,0.79",1428327426,
"precio rejas ventanas",6,7,90,0.75,http://www.hazmeprecio.com/presupuesto/rejas-ventanas,0.26,0.13,0.87,514000,"0.79,0.64,0.79,0.50,0.36,0.14,0.64,0.99,0.64,0.64,0.79,0.50",1428269980,
"cerramientos terrazas precios",7,8,110,1.48,http://www.hazmeprecio.com/presupuesto/cerramiento-terraza,0.26,0.26,0.85,252000,"0.42,0.19,0.15,0.12,0.27,0.35,0.42,0.81,0.81,0.54,0.99,0.54",1428496251,
"precio bloque de hormigon 40x20x20",7,5,110,1.22,http://www.hazmeprecio.com/presupuesto/bloques-de-hormigon,0.26,0.22,0.15,4000,"0.42,0.99,0.65,0.42,0.35,0.35,0.35,0.35,0.35,0.27,0.27,0.42",1428251850,
"presupuesto de pintura",7,7,110,1.88,http://www.hazmeprecio.com/presupuesto/pintura,0.26,0.34,0.75,5970000,"0.99,0.82,0.82,0.65,0.65,0.53,0.53,0.53,0.65,0.28,0.53,0.65",1428419780,
"hormigon impreso tarragona",13,10,480,1.03,http://www.hazmeprecio.com/presupuesto/hormigon-impreso/tarragona,0.25,0.18,0.91,65000,"0.14,0.07,0.09,0.21,0.32,0.72,0.99,0.99,0.39,0.26,0.88,0.88",1428750115,
