Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo class,relevant class
bauhaus malaga,20,0,2400,0.13,http://www.habitissimo.es/bauhaus-malaga,0.01,0.00,0.00,137000,"0.99,0.99,0.99,0.81,0.53,0.67,0.53,0.81,0.81,0.53,0.53,0.53",1428564435,geo,norelevant
grupo puma,18,17,2400,0.00,http://www.habitissimo.es/grupo-puma/distribuidores/madrid,0.01,0.00,0.00,836000,"0.99,0.99,0.99,0.99,0.99,0.67,0.99,0.99,0.99,0.67,0.79,0.99",1428347117,nogeo,norelevant
grupo puma,19,16,2400,0.00,http://www.habitissimo.es/grupo-puma/distribuidores/2,0.01,0.00,0.00,836000,"0.99,0.99,0.99,0.99,0.99,0.67,0.99,0.99,0.99,0.67,0.79,0.99",1428347117,nogeo,norelevant
reformas barcelona,18,0,2400,3.73,http://www.habitissimo.es/presupuestos/reformas/barcelona,0.01,0.04,0.85,15900000,"0.99,0.67,0.81,0.67,0.44,0.36,0.53,0.67,0.67,0.44,0.53,0.53",1428232495,geo,relevant
electricista,7,7,2400,3.19,http://www.electricistabarato.es/,41.55,37.48,0.77,12400000,"0.53,0.44,0.53,0.53,0.53,0.44,0.99,0.81,0.67,0.67,0.81,0.67",,nogeo,relevant
cerrajeros,5,5,2400,15.66,http://www.cerrajerosmadridd24horas.com/,6.53,4.35,0.91,944000,"0.83,0.66,0.99,0.83,0.99,0.83,0.83,0.99,0.83,0.66,0.66,0.83",1429580003,nogeo,relevant
reformas de baños,18,0,1900,2.02,http://tumanitas.com/precios-de-reformas/reformas-banos,0.16,0.26,0.84,1140000,"0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99",1428586475,nogeo,relevant
fontaneros madrid,3,3,1900,12.00,http://www.hrzfontanerosmadrid.com/,36.30,46.58,0.91,522000,"0.99,0.66,0.66,0.66,0.45,0.30,0.45,0.66,0.83,0.55,0.55,0.55",1429580166,geo,relevant
reformas de baños,1,1,1900,2.02,http://fotos.habitissimo.es/reformas-banos,1.52,2.92,0.84,1140000,"0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99",1428586475,nogeo,relevant
maison decor,3,3,1900,0.35,http://www.habitissimo.es/maison-decor,0.29,0.09,0.21,5390000,"0.99,0.67,0.79,0.67,0.79,0.79,0.99,0.99,0.99,0.79,0.99,0.79",1428675165,nogeo,norelevant
schuco,3,4,1900,1.36,http://www.habitissimo.es/schuco,0.29,0.37,0.09,1700000,"0.79,0.79,0.79,0.79,0.67,0.42,0.79,0.99,0.99,0.79,0.79,0.79",1428746438,nogeo,norelevant
tarkett,5,4,1900,0.60,http://www.habitissimo.es/tarkett,0.16,0.09,0.13,1250000,"0.99,0.79,0.99,0.99,0.79,0.67,0.79,0.99,0.99,0.79,0.99,0.99",1428405047,nogeo,norelevant
alcad,11,12,1900,0.03,http://www.habitissimo.es/alcad/distribuidores,0.15,0.00,0.01,409000,"0.66,0.55,0.55,0.45,0.66,0.34,0.66,0.99,0.99,0.66,0.66,0.66",1428209342,nogeo,norelevant
unopiu,10,5,1900,0.76,http://www.habitissimo.es/unopiu,0.09,0.07,0.09,196000,"0.99,0.99,0.99,0.99,0.83,0.66,0.45,0.45,0.30,0.25,0.34,0.45",1428792809,nogeo,norelevant
casas prefabricadas precios y fotos,9,9,1900,0.21,http://precio.habitissimo.es/construccion-casas-prefabricadas,0.09,0.01,0.61,528000,"0.67,0.67,0.67,0.54,0.79,0.79,0.79,0.79,0.67,0.54,0.99,0.99",1428114948,nogeo,norelevant
texsa,12,13,1900,0.00,http://www.habitissimo.es/texsa/distribuidores,0.04,0.00,0.00,257000,"0.99,0.79,0.99,0.79,0.79,0.54,0.79,0.99,0.99,0.79,0.79,0.99",1428145421,nogeo,norelevant
procolor,12,12,1900,0.10,http://www.habitissimo.es/procolor,0.04,0.00,0.15,497000,"0.99,0.99,0.99,0.99,0.99,0.84,0.99,0.99,0.84,0.68,0.84,0.84",1428351572,nogeo,norelevant
halogenos led,12,12,1900,0.74,http://preguntas.habitissimo.es/pregunta/cambiar-de-halogenos-a-led,0.04,0.02,1.00,399000,"0.83,0.66,0.55,0.45,0.45,0.45,0.66,0.83,0.99,0.83,0.83,0.83",1428683996,nogeo,norelevant
gerflor,13,0,1900,0.96,http://www.habitissimo.es/gerflor/distribuidores,0.02,0.02,0.09,616000,"0.99,0.79,0.79,0.79,0.79,0.67,0.79,0.79,0.79,0.67,0.79,0.99",1428127999,nogeo,norelevant
hormigon impreso madrid,14,14,1900,2.33,http://www.habitissimo.es/empresas/hormigon-impreso/madrid,0.02,0.05,0.77,198000,"0.99,0.67,0.99,0.67,0.67,0.67,0.67,0.99,0.79,0.54,0.79,0.79",1428482311,geo,norelevant
pergolas de aluminio,14,15,1900,1.25,http://www.habitissimo.es/presupuestos/pergola-aluminio,0.02,0.02,0.89,388000,"0.99,0.83,0.66,0.83,0.99,0.83,0.30,0.17,0.25,0.30,0.55,0.66",1428577412,nogeo,norelevant
brico marian,16,15,1900,0.00,http://www.habitissimo.es/t-brico-marian-len,0.01,0.00,0.00,44000,"0.99,0.79,0.99,0.79,0.79,0.79,0.99,0.99,0.99,0.79,0.79,0.79",1428620172,nogeo,norelevant
el globo muebles,16,16,1900,0.24,http://www.habitissimo.es/el-globo-muebles-san-sebastian-de-los-reyes,0.01,0.00,0.04,591000,"0.66,0.55,0.55,0.45,0.55,0.66,0.83,0.66,0.83,0.55,0.99,0.83",1428832154,nogeo,norelevant
empresa casas,15,20,1900,0.44,http://www.habitissimo.es/empresas/casas-de-madera/malaga,0.01,0.00,0.02,55800000,"0.67,0.54,0.67,0.67,0.79,0.67,0.99,0.79,0.79,0.79,0.79,0.79",1428213869,nogeo,norelevant
pintores madrid,16,18,1900,2.52,http://www.habitissimo.es/presupuestos/pintores/madrid,0.01,0.03,0.75,767000,"0.83,0.66,0.99,0.66,0.55,0.45,0.55,0.83,0.66,0.66,0.83,0.83",1428792881,geo,relevant
fontaneros madrid,16,16,1900,12.00,http://precio.habitissimo.es/fontaneros/madrid,0.01,0.18,0.91,692000,"0.99,0.66,0.66,0.66,0.45,0.30,0.45,0.66,0.83,0.55,0.55,0.55",1428376059,geo,relevant
tela asfaltica,17,18,1900,0.97,http://preguntas.habitissimo.es/pregunta/colocacion-de-tela-asfaltica,0.01,0.01,0.46,173000,"0.83,0.66,0.66,0.66,0.66,0.66,0.83,0.83,0.99,0.83,0.66,0.66",1428415599,nogeo,norelevant
ies la pineda,17,16,1900,0.00,http://www.habitissimo.es/ies-la-pineda,0.01,0.00,0.00,379000,"0.67,0.44,0.67,0.44,0.24,0.13,0.81,0.99,0.81,0.44,0.53,0.44",1428387196,nogeo,norelevant
puertas blancas,17,10,1900,0.72,http://preguntas.habitissimo.es/pregunta/que-puertas-me-recomendais-le-iria-bien-en-color-blanco,0.01,0.00,0.79,6960000,"0.66,0.55,0.55,0.55,0.55,0.55,0.66,0.66,0.66,0.55,0.83,0.99",1428183580,nogeo,norelevant
caldera de pellets,19,0,1900,0.62,http://preguntas.habitissimo.es/pregunta/estufa-o-caldera-de-pellets,0.00,0.00,1.00,536000,"0.44,0.28,0.24,0.20,0.20,0.20,0.36,0.53,0.99,0.99,0.99,0.81",1428318685,nogeo,norelevant
