Keyword,Position,Previous Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition,Number of Results,Trends,Timestamp,geo
presupuestos de obras,2,2,50,3.07,http://tumanitas.com/,0.19,0.45,0.93,27100000,"0.99,0.56,0.99,0.56,0.43,0.28,0.71,0.99,0.56,0.71,0.71,0.99",1428128018,nogeo
precios de reformas,2,2,50,2.95,http://tumanitas.com/precios-de-reformas,0.19,0.43,0.83,19800000,"0.99,0.71,0.99,0.43,0.28,0.28,0.71,0.71,0.71,0.56,0.56,0.99",1428679351,nogeo
manitas barcelona,3,3,70,0.91,http://tumanitas.com/trabajos-en/barcelona,0.18,0.12,0.43,502000,"0.56,0.78,0.99,0.78,0.56,0.78,0.78,0.99,0.78,0.44,0.56,0.56",1428154629,geo
reformas baños barcelona,9,11,210,4.08,http://tumanitas.com/trabajos-en/provincia-de-barcelona/reformas-banos,0.18,0.58,0.80,605000,"0.99,0.81,0.81,0.34,0.44,0.34,0.81,0.81,0.66,0.53,0.53,0.81",1428759506,geo
reformas de baños en madrid,8,8,210,4.63,http://tumanitas.com/trabajos-en/madrid/reformas-banos,0.18,0.65,0.84,624000,"0.08,0.10,0.10,0.12,0.08,0.06,0.10,0.36,0.99,0.67,0.30,0.12",1428343066,geo
lacar puertas blanco,10,10,210,0.79,http://tumanitas.com/trabajos-de/lacar-puertas,0.18,0.11,0.37,121000,"0.24,0.08,0.28,0.81,0.99,0.19,0.15,0.08,0.15,0.08,0.36,0.28",1428745663,nogeo
reformas integrales precios,10,8,210,3.04,http://tumanitas.com/precios-de-reformas/aislamientos/reformas-integrales,0.18,0.43,0.88,422000,"0.28,0.81,0.53,0.44,0.34,0.44,0.99,0.53,0.44,0.44,0.81,0.99",1428347290,nogeo
rejuntar azulejos,3,3,70,0.00,http://blog.tumanitas.com/rejuntar-alicatados-consejos-para-hacerlo-bien/,0.18,0.00,0.02,61000,"0.99,0.45,0.36,0.82,0.64,0.99,0.45,0.45,0.45,0.45,0.82,0.99",1428560110,nogeo
precio cocina,10,12,210,0.50,http://tumanitas.com/precios-de-reformas/cocina,0.18,0.07,0.68,160000000,"0.81,0.65,0.81,0.65,0.65,0.42,0.81,0.81,0.81,0.65,0.99,0.99",1428150012,nogeo
reformas de baños,18,0,1900,2.02,http://tumanitas.com/precios-de-reformas/reformas-banos,0.16,0.26,0.84,1140000,"0.66,0.55,0.66,0.45,0.34,0.45,0.55,0.55,0.83,0.55,0.99,0.99",1428586475,nogeo
presupuesto instalacion electrica,7,6,140,2.04,http://tumanitas.com/trabajos-de/instalacion-electrica,0.16,0.25,0.47,282000,"0.99,0.43,0.67,0.67,0.81,0.33,0.43,0.67,0.43,0.52,0.81,0.81",1428832660,nogeo
reforma cocina precio,7,6,140,2.11,http://tumanitas.com/precios-de-reformas/reformas-cocinas,0.16,0.26,0.90,10500000,"0.81,0.54,0.65,0.42,0.19,0.27,0.42,0.42,0.42,0.54,0.99,0.65",1428240901,nogeo
manitas madrid,7,7,140,1.01,http://tumanitas.com/,0.16,0.12,0.87,503000,"0.67,0.43,0.67,0.52,0.81,0.81,0.67,0.67,0.81,0.99,0.67,0.67",1428693259,geo
lacar puertas en blanco precio,6,6,110,0.94,http://tumanitas.com/trabajos-de/lacar-puertas,0.16,0.11,0.67,74000,"0.23,0.19,0.19,0.10,0.19,0.19,0.23,0.28,0.99,0.15,0.19,0.15",1428079292,nogeo
mis manitas,5,5,110,0.48,http://tumanitas.com/,0.16,0.05,0.23,364000,"0.99,0.65,0.82,0.53,0.41,0.41,0.53,0.53,0.53,0.41,0.65,0.65",1428630016,nogeo
reformar baño precio,5,5,110,1.47,http://tumanitas.com/precios-de-reformas/reformas-banos,0.16,0.18,0.90,1140000,"0.42,0.35,0.42,0.42,0.27,0.27,0.27,0.35,0.42,0.54,0.81,0.99",1428783564,nogeo
carpinteria sevilla,6,5,110,1.18,http://tumanitas.com/trabajos-en/sevilla/carpinteria-madera,0.16,0.14,0.31,516000,"0.79,0.64,0.50,0.64,0.50,0.64,0.79,0.79,0.99,0.50,0.79,0.79",1428846269,geo
presupuesto de pintura,6,6,110,1.88,http://tumanitas.com/trabajos-en/madrid/pintura,0.16,0.23,0.75,5970000,"0.99,0.82,0.82,0.65,0.65,0.53,0.53,0.53,0.65,0.28,0.53,0.65",1428419780,nogeo
presupuesto de pintura,5,5,110,1.88,http://tumanitas.com/trabajos-de/pintura,0.16,0.23,0.75,5970000,"0.99,0.82,0.82,0.65,0.65,0.53,0.53,0.53,0.65,0.28,0.53,0.65",1428419780,nogeo
presupuesto obras,2,2,40,2.23,http://tumanitas.com/,0.15,0.26,0.74,51900000,"0.43,0.43,0.99,0.71,0.56,0.43,0.43,0.43,0.71,0.43,0.43,0.71",1428083458,nogeo
ventanas metalicas,2,2,40,0.96,http://tumanitas.com/trabajos-de/puertas-y-ventanas-metalicas,0.15,0.11,0.70,759000,"0.99,0.80,0.80,0.60,0.60,0.40,0.80,0.99,0.99,0.60,0.80,0.80",1428241270,nogeo
pladur malaga,11,13,110,0.97,http://tumanitas.com/trabajos-en/provincia-de-malaga/yeso-y-pladur,0.15,0.11,0.30,336000,"0.54,0.27,0.27,0.19,0.27,0.35,0.42,0.99,0.54,0.35,0.54,0.42",1428352139,geo
presupuesto quitar gotele,11,11,110,0.81,http://tumanitas.com/trabajos-de/quitar-gotele,0.15,0.09,0.69,96000,"0.99,0.53,0.65,0.53,0.65,0.53,0.65,0.53,0.65,0.65,0.99,0.82",1428115057,nogeo
rejas de hierro,9,11,170,0.73,http://tumanitas.com/precios-de-reformas/carpinteria-metalica/rejas-de-hierro,0.15,0.08,0.52,479000,"0.67,0.67,0.67,0.99,0.81,0.67,0.52,0.81,0.99,0.67,0.99,0.99",1428846190,nogeo
precio pintura,10,15,170,0.79,http://tumanitas.com/precios-de-reformas/pintura,0.15,0.09,0.93,19400000,"0.81,0.81,0.99,0.81,0.67,0.52,0.81,0.67,0.67,0.67,0.81,0.67",1428145661,nogeo
carpinteria zaragoza,4,6,70,0.46,http://tumanitas.com/trabajos-en/zaragoza/carpinteria-madera,0.14,0.05,0.45,515000,"0.64,0.64,0.64,0.36,0.36,0.64,0.45,0.45,0.36,0.45,0.45,0.99",1428174568,geo
presupuesto para obra,1,2,10,0.00,http://tumanitas.com/,0.13,0.00,0.96,43000000,"0.99,0.99,0.99,0.99,0.99,0.00,0.99,0.99,0.99,0.99,0.99,0.99",1428442549,nogeo
